atoms,sample_len,interaction_time,atom_distance,geometry,encoding,waveform,nbr_atoms,edge_size,QFIMrank
9,7,100,15,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,100,15,grid_lattice,both,Constant,NaN,Nan,7
9,7,1000,4,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,1000,4,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,1000,4,grid_lattice,both,Constant,NaN,Nan,7
9,7,1000,5,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,1000,5,grid_lattice,detuning,Constant,NaN,Nan,0
9,7,1000,5,grid_lattice,both,Constant,NaN,Nan,7
9,7,1000,10,grid_lattice,amplitude,Constant,NaN,Nan,7
9,7,1000,10,grid_lattice,detuning,Constant,NaN,Nan,0
