input_data,train_len,test_len,neuron_number,sample_len,train_mae,test_mae
mackey,500,30,4,8,0.19798795348626413,0.16408586133015893
mackey,500,30,5,8,0.19798795348626413,0.16408586133015893
mackey,500,30,6,8,0.03885818652615139,0.049673430056824466
mackey,500,30,7,8,0.037309387761373235,0.048291615172091795
mackey,500,30,8,8,0.039028540277203594,0.04992954770444718
mackey,500,30,9,8,0.05059437250661665,0.06509178882646502
mackey,500,30,10,8,0.038857596861725574,0.04966517103312731
mackey,500,30,11,8,0.014476450598439591,0.01824514074322484
mackey,500,30,12,8,0.026238143601955855,0.034566206791893025
mackey,500,30,13,8,0.032194341002467895,0.04173468263133739
mackey,500,30,14,8,0.03887217602770577,0.04981528826249038
mackey,500,30,15,8,0.008250889994665512,0.009784391178394353
mackey,500,30,16,8,0.012345167748112701,0.016727697857384784
mackey,500,30,17,8,0.006533647755636188,0.008725263200598188
mackey,500,30,18,8,0.004164741274675622,0.010693424899134475
mackey,500,30,19,8,0.012114107788213658,0.01516833752178226
mackey,500,30,20,8,0.012520854153798732,0.013753033792124256
mackey,500,30,25,8,0.005310552517802126,0.009784083153925014
mackey,500,30,30,8,0.007017186165433513,0.016200064085009465
mackey,500,30,35,8,0.006615123437108217,0.014696944278893802
mackey,500,30,40,8,0.008527228638602221,0.018437077322360156
mackey,500,30,50,8,0.0058450938549486015,0.011480769007160663
mackey,500,30,60,8,0.006025869707938694,0.01801972965015171
mackey,500,30,70,8,0.007308954305747321,0.013748891329494226
mackey,500,30,80,8,0.006270809003444903,0.020973369602832574
mackey,500,30,90,8,0.006418097766274602,0.022100671986720714
mackey,500,30,100,8,0.006398432613567634,0.02053369791967659
mackey,550,30,4,8,0.19642636649707898,0.20263296306828854
mackey,550,30,5,8,0.19642636649707898,0.20263296306828854
mackey,550,30,6,8,0.038324636202216385,0.05625999334595428
mackey,550,30,7,8,0.036619241946208254,0.05360908018460079
mackey,550,30,8,8,0.03848777939920358,0.05657140767035399
mackey,550,30,9,8,0.04949350719844463,0.07554879422656453
mackey,550,30,10,8,0.038324496496101694,0.05624660842330654
mackey,550,30,11,8,0.014316508947094674,0.017735754492217686
mackey,550,30,12,8,0.0256085332065383,0.036120069449354135
mackey,550,30,13,8,0.03130367920702069,0.04491953645573614
mackey,550,30,14,8,0.03833405297023824,0.05648354207228145
mackey,550,30,15,8,0.008124005010271614,0.009271035161038495
mackey,550,30,16,8,0.012295456145747228,0.018273393077187654
mackey,550,30,17,8,0.0065270551826221,0.009256357650293836
mackey,550,30,18,8,0.00438827111887505,0.011329054119089507
mackey,550,30,19,8,0.011914223101829014,0.015046969068480184
mackey,550,30,20,8,0.012582680400795156,0.017591123272462726
mackey,550,30,25,8,0.005469997939635675,0.009781864280096784
mackey,550,30,30,8,0.007164263324824638,0.01677732012886355
mackey,550,30,35,8,0.006842216676600691,0.01649849491711967
mackey,550,30,40,8,0.00886969770270466,0.01944194742874599
mackey,550,30,50,8,0.006157817816823413,0.011672845610034328
mackey,550,30,60,8,0.006491008776795608,0.02148832335859349
mackey,550,30,70,8,0.007482154853892674,0.014816227203605092
mackey,550,30,80,8,0.00686280245054491,0.026116987566266986
mackey,550,30,90,8,0.006989374298314273,0.027291922432368672
mackey,550,30,100,8,0.006892524942387661,0.025658583845582696
